;q ：“
;w ？
;e （
;r ）
;t →
;y ·
;u ~
;i ——
;o 〖
;p 〗
;a ！
;s ……
;d 、
;f “
;g ”
;h 『
;j 』
;k ￥
;l %
;z |
;x 【
;c 】
;v 《
;b 》
;n 「
;m 」
u 的
f 一
o 是
c 不
r 了
n 在
t 我
j 人
je 他
vu 这
nv 有
jg 个
m 大
yf 上
d 中
a 来
ge 地
x 和
s 说
i 为
ja 们
y 到
jx 你
g 就
e 也
vj 以
rn 国
rni 国
au 那
v 要
ok 时
sm 出
gq 着
z 可
h 道
ri 之
rk 对
jb 会
oi 自
l 而
w 得
fy 下
k 能
ku 过
ls 生
hi 子
fn 于
ev 年
xf 后
sr 发
sri 发
q 都
dl 里
kr 没
cu 还
mt 所
gk 去
uq 看
fd 事
b 如
ty 用
yx 小
jw 作
ll 多
p 行
dh 只
bh 好
na 成
wj 家
fm 天
be 她
lf 方
vm 然
vmc 然
yb 当
hx 心
pv 起
xd 种
xdg 种
eqh 想
ir 经
ne 现
jo 但
kg 法
kgk 法
du 无
mf 同
mfd 同
tk 么
qu 进
kw 学
bm 面
zh 其
hv 前
vi 已
in 主
jj 从
bs 动
hp 分
umb 把
fl 开
wyc 军
ry 又
ml 两
ef 本
rm 因
wt 定
id 部
idt 部
fa 与
alk 将
or 日
pc 长
ndl 理
ts 三
svm 些
ww 实
wwm 实
egy 样
ns 十
xh 意
od 知
sv 此
rt 第
sl 力
wi 很
fsi 正
gg 高
us 手
jns 什
zs 身
tr 被
wv 它
ov 明
ql 老
qo 者
hk 公
ej 见
eo 机
tm 向
adk 问
oq 最
oqr 最
jf 使
jfd 使
jn 全
yd 点
ydc 点
ha 情
lyb 外
dm 民
hl 并
ydp 战
hmd 关
ug 工
rd 回
rg 等
rgk 等
eqm 相
me 二
ldl 重
dy 由
wm 头
gc 声
hls 性
xk 应
xkf 应
ao 间
sa 话
vw 文
ij 给
ijd 给
gm 美
cy 业
qne 物
nq 真
jef 体
pdf 或
fsh 政
oj 几
mj 内
xp 利
ua 打
pz 走
ie 新
iet 新
ji 位
vx 西
fmg 再
ixc 产
sd 加
vy 月
gkz 却
qp 先
qrp 制
qg 特
qgk 特
qem 果
ryx 东
fog 神
pe 儿
nt 才
am 门
mi 太
jdk 合
js 信
ati 表
xu 原
bn 女
fo 更
fob 更
vjj 己
ld 名
il 立
vv 比
jp 代
ys 四
zht 斯
jt 任
we 次
la 世
jfo 便
dtj 听
uo 提
uot 提
jc 做
kek 海
ks 水
qhh 教
qi 眼
jvb 化
kt 通
ktu 通
nf 感
nw 王
sg 各
dk 口
vq 气
ds 别
dsp 别
yt 少
hy 处
eh 平
srj 常
xt 解
jz 何
uib 接
qm 目
xr 反
zc 变
zcr 变
rtm 笑
hd 总
hdh 总
ju 入
sj 认
he 条
wb 安
zj 金
cj 及
xlr 度
syf 让
vs 山
nm 马
ywr 受
ka 活
igd 结
pb 数
pbh 数
nqf 直
ht 必
ub 白
uv 指
uvo 指
bp 张
uz 报
sjl 论
do 员
ib 义
lh 放
oa 电
yi 至
wu 五
tis 系
rui 难
jdz 命
bu 建
xyx 尔
jq 件
gv 死
jde 保
wmp 完
se 许
sen 许
ot 题
otw 题
ga 场
eu 空
sn 计
wh 怎
mg 光
rwk 管
rf 非
wn 德
wny 德
bd 强
ofd 量
wnj 决
fle 形
jwx 像
zhv 期
weo 资
tjr 队
kav 清
hs 务
dr 嗯
ibp 统
aa 书
aag 书
zr 市
afd 司
pf 师
pfr 师
jin 住
iz 即
cp 克
lw 带
lwr 带
cf 飞
nmg 南
nb 区
ehi 李
op 则
kwe 觉
ab 交
fg 社
jae 今
zhg 基
av 北
cl 展
clt 展
jm 传
jma 传
yu 连
di 叫
kk 治
kkd 治
psg 路
fp 万
qd 告
xj 科
dcv 呢
qh 思
mu 达
svj 记
ym 转
yma 转
fv 望
fvn 望
su 边
hn 快
hnj 快
obi 风
xm 色
sk 该
qjp 界
wx 象
er 权
ui 拉
srs 设
fq 且
qr 取
eg 干
ih 收
ssi 步
jkw 领
ee 林
ei 根
win 往
iem 亲
ec 极
fk 求
aw 未
ek 每
xdn 程
pug 式
thb 兵
uc 据
ucc 据
pmd 类
sy 言
hej 规
dmb 吧
ddd 品
mx 确
mxt 确
rej 观
gna 城
dc 虽
th 失
es 格
mp 远
mpu 远
sh 办
mpe 元
